08-28 08:29:22 exp/91b arm=T cpu_total=179.9min delta_5min=37.4min ram=2.47GB
08-28 08:34:22 exp/91b arm=T cpu_total=216.4min delta_5min=36.5min ram=2.00GB
08-28 08:39:25 exp/91b arm=T cpu_total=253.7min delta_5min=37.3min ram=2.73GB
08-28 08:44:25 exp/91b arm=T cpu_total=290.4min delta_5min=36.8min ram=2.49GB
08-28 08:49:26 exp/91b arm=T cpu_total=327.5min delta_5min=37.1min ram=3.55GB
08-28 08:54:27 exp/91b arm=T cpu_total=364.6min delta_5min=37.1min ram=2.68GB
08-28 08:59:27 exp/91b arm=T cpu_total=403.1min delta_5min=38.4min ram=2.00GB
08-28 09:04:28 exp/91b arm=T cpu_total=440.0min delta_5min=37.0min ram=2.29GB
08-28 09:09:29 exp/91b arm=T cpu_total=477.0min delta_5min=37.0min ram=2.61GB
08-28 09:14:30 exp/91b arm=T cpu_total=514.0min delta_5min=37.0min ram=2.86GB
08-28 09:19:30 exp/91b arm=T cpu_total=550.9min delta_5min=36.9min ram=2.55GB
08-28 09:24:30 exp/91b arm=T cpu_total=588.5min delta_5min=37.6min ram=2.38GB
08-28 09:34:36 exp/91b arm=T0 cpu_total=31.7min delta_5min=31.7min ram=2.33GB
08-28 09:39:38 exp/91b arm=T0 cpu_total=69.2min delta_5min=37.5min ram=2.58GB
08-28 09:44:39 exp/91b arm=T0 cpu_total=106.2min delta_5min=37.0min ram=2.77GB
08-28 09:49:41 exp/91b arm=T0 cpu_total=143.2min delta_5min=37.0min ram=1.87GB
08-28 09:54:41 exp/91b arm=T0 cpu_total=180.1min delta_5min=36.9min ram=1.87GB
08-28 09:59:41 exp/91b arm=T0 cpu_total=216.9min delta_5min=36.8min ram=3.08GB
08-28 10:04:42 exp/91b arm=T0 cpu_total=254.6min delta_5min=37.7min ram=2.20GB
08-28 10:09:42 exp/91b arm=T0 cpu_total=291.4min delta_5min=36.8min ram=1.99GB
08-28 10:14:43 exp/91b arm=T0 cpu_total=328.9min delta_5min=37.4min ram=2.45GB
08-28 10:19:43 exp/91b arm=T0 cpu_total=365.9min delta_5min=37.0min ram=2.51GB
08-28 10:24:44 exp/91b arm=T0 cpu_total=403.3min delta_5min=37.4min ram=2.67GB
08-29 01:29:27 exp/93 arm=A cpu_total=45.4min delta_5min=45.4min ram=2.63GB
08-29 01:41:41 exp/93 arm=A cpu_total=136.9min delta_5min=91.4min ram=2.49GB
08-29 01:50:12 exp/93 arm=A cpu_total=199.3min delta_5min=62.4min ram=2.37GB
08-29 01:57:11 exp/93 arm=A cpu_total=247.9min delta_5min=48.6min ram=2.21GB
08-29 02:03:26 exp/93 arm=A cpu_total=291.3min delta_5min=43.4min ram=1.98GB
08-29 02:08:31 exp/93 arm=A cpu_total=327.0min delta_5min=35.7min ram=1.91GB
08-29 02:13:44 exp/93 arm=A cpu_total=364.1min delta_5min=37.1min ram=2.73GB
08-29 02:18:48 exp/93 arm=A cpu_total=400.4min delta_5min=36.2min ram=2.72GB
08-29 02:23:51 exp/93 arm=A cpu_total=437.1min delta_5min=36.8min ram=2.50GB
08-29 02:28:51 exp/93 arm=A cpu_total=475.1min delta_5min=38.0min ram=1.88GB
08-29 02:33:51 exp/93 arm=A cpu_total=515.7min delta_5min=40.5min ram=1.66GB
08-29 02:38:52 exp/93 arm=A cpu_total=557.9min delta_5min=42.3min ram=2.13GB
08-29 02:43:52 exp/93 arm=A cpu_total=598.7min delta_5min=40.7min ram=2.72GB
08-29 02:48:52 exp/93 arm=A cpu_total=639.0min delta_5min=40.3min ram=2.74GB
08-29 02:53:53 exp/93 arm=A cpu_total=680.6min delta_5min=41.7min ram=2.46GB
08-29 02:58:53 exp/93 arm=A cpu_total=723.1min delta_5min=42.4min ram=2.59GB
08-29 03:03:53 exp/93 arm=A cpu_total=764.8min delta_5min=41.7min ram=2.02GB
08-29 03:08:54 exp/93 arm=A cpu_total=807.4min delta_5min=42.6min ram=2.71GB
08-29 03:13:54 exp/93 arm=A cpu_total=849.7min delta_5min=42.4min ram=2.41GB
08-29 03:18:54 exp/93 arm=A cpu_total=889.5min delta_5min=39.8min ram=2.65GB
08-29 03:23:54 exp/93 arm=A cpu_total=931.1min delta_5min=41.5min ram=2.75GB
08-29 03:28:54 exp/93 arm=A cpu_total=972.0min delta_5min=41.0min ram=2.87GB
08-29 03:39:00 exp/93 arm=B cpu_total=36.9min delta_5min=36.9min ram=2.46GB
08-29 03:44:02 exp/93 arm=B cpu_total=74.3min delta_5min=37.4min ram=2.81GB
